ID,Gender,Marital status,Age,Education,Income,Occupation,Settlement size
100000444,male,single,41,high school,69609,unemployed/ unskilled,small city
100000445,female,married,30,high school,178947,management/ self employed/ highly qualified employee/ officer,big city
100000446,female,married,41,university,81743,unemployed/ unskilled,small city
100000447,female,married,34,high school,111900,skilled employee / official,mid-sized city
100000448,male,single,35,high school,121650,skilled employee / official,small city
100000449,female,married,55,university,172639,management/ self employed/ highly qualified employee/ officer,big city
100000450,male,married,61,university,175740,skilled employee / official,mid-sized city
100000451,male,single,30,other / unknown,220050,management/ self employed/ highly qualified employee/ officer,big city
100000452,female,married,29,high school,95200,skilled employee / official,mid-sized city
100000453,male,single,34,high school,113609,skilled employee / official,mid-sized city
100000454,male,single,35,high school,143552,management/ self employed/ highly qualified employee/ officer,big city
100000455,male,single,31,other / unknown,130973,skilled employee / official,big city
100000456,female,married,29,high school,145946,management/ self employed/ highly qualified employee/ officer,big city
100000457,male,single,36,high school,126206,skilled employee / official,mid-sized city
100000458,male,single,35,high school,120426,skilled employee / official,small city
100000459,female,married,27,high school,91925,skilled employee / official,big city
100000460,male,single,32,other / unknown,129630,skilled employee / official,big city
100000461,male,single,37,high school,124268,skilled employee / official,big city
100000462,male,single,36,high school,105240,skilled employee / official,mid-sized city
100000463,female,married,34,high school,162180,management/ self employed/ highly qualified employee/ officer,small city
100000464,male,single,38,high school,106552,skilled employee / official,big city
100000465,male,single,34,high school,105843,skilled employee / official,big city
100000466,male,single,63,university,138327,skilled employee / official,mid-sized city
100000467,female,married,29,high school,76154,unemployed/ unskilled,small city
100000468,male,single,32,other / unknown,155012,skilled employee / official,mid-sized city
100000469,female,married,26,high school,114369,skilled employee / official,mid-sized city
100000470,male,single,35,high school,102839,unemployed/ unskilled,small city
100000471,male,married,22,high school,132796,skilled employee / official,small city
100000472,female,married,23,high school,89742,skilled employee / official,big city
100000473,male,single,28,other / unknown,58615,unemployed/ unskilled,small city
100000474,male,single,36,high school,130603,management/ self employed/ highly qualified employee/ officer,big city
100000475,male,married,33,high school,110340,skilled employee / official,small city
100000476,female,married,26,high school,117729,skilled employee / official,big city
100000477,male,single,24,other / unknown,130808,skilled employee / official,small city
100000478,male,single,25,other / unknown,147402,skilled employee / official,big city
100000479,male,single,39,high school,93567,unemployed/ unskilled,small city
100000480,male,single,44,high school,109289,skilled employee / official,mid-sized city
100000481,female,married,23,high school,98742,unemployed/ unskilled,small city
100000482,male,single,26,other / unknown,101270,skilled employee / official,small city
100000483,female,married,57,university,187835,skilled employee / official,mid-sized city
100000484,female,married,30,high school,140741,skilled employee / official,small city
100000485,male,single,44,high school,133265,skilled employee / official,big city
100000486,male,single,47,high school,148100,management/ self employed/ highly qualified employee/ officer,big city
100000487,male,single,52,high school,131021,skilled employee / official,big city
100000488,female,married,62,university,152620,skilled employee / official,big city
100000489,male,single,35,high school,85033,unemployed/ unskilled,small city
100000490,male,single,26,other / unknown,114514,skilled employee / official,mid-sized city
100000491,male,single,26,other / unknown,99307,skilled employee / official,mid-sized city
100000492,female,married,42,university,219451,management/ self employed/ highly qualified employee/ officer,big city
100000493,female,married,27,high school,114007,skilled employee / official,small city
100000494,male,single,38,high school,102846,skilled employee / official,small city
100000495,male,single,39,high school,81483,unemployed/ unskilled,small city
100000496,male,married,20,high school,107779,skilled employee / official,big city
100000497,male,single,29,other / unknown,222360,management/ self employed/ highly qualified employee/ officer,big city
100000498,male,single,40,high school,107125,skilled employee / official,small city
100000499,male,married,32,high school,80080,unemployed/ unskilled,small city
100000500,male,married,28,high school,129600,skilled employee / official,small city
100000501,female,married,27,high school,118613,skilled employee / official,mid-sized city
100000502,male,single,42,high school,146237,skilled employee / official,mid-sized city
100000503,male,married,49,university,144461,skilled employee / official,big city
100000504,male,single,38,high school,124487,skilled employee / official,small city
100000505,female,married,24,high school,97826,skilled employee / official,small city
100000506,male,single,27,other / unknown,64105,unemployed/ unskilled,small city
100000507,male,single,36,high school,156374,skilled employee / official,big city
100000508,male,single,34,high school,205383,management/ self employed/ highly qualified employee/ officer,big city
100000509,male,married,28,high school,98964,skilled employee / official,big city
100000510,male,single,45,high school,221842,management/ self employed/ highly qualified employee/ officer,big city
100000511,male,single,26,other / unknown,88027,skilled employee / official,big city
100000512,male,single,32,other / unknown,160513,management/ self employed/ highly qualified employee/ officer,big city
100000513,male,single,26,other / unknown,124536,skilled employee / official,big city
100000514,male,married,20,high school,93634,skilled employee / official,small city
100000515,male,single,54,high school,124725,skilled employee / official,small city
100000516,female,married,37,high school,102456,skilled employee / official,small city
100000517,male,single,40,high school,74975,unemployed/ unskilled,small city
100000518,female,married,23,high school,153861,skilled employee / official,mid-sized city
100000519,male,single,43,high school,119351,skilled employee / official,big city
100000520,male,single,36,high school,95438,skilled employee / official,big city
100000521,male,single,44,high school,147967,skilled employee / official,big city
100000522,female,married,24,high school,116863,skilled employee / official,mid-sized city
100000523,male,single,53,high school,170622,skilled employee / official,mid-sized city
100000524,female,married,23,high school,132426,skilled employee / official,mid-sized city
100000525,female,married,26,high school,77519,unemployed/ unskilled,small city
100000526,male,single,30,other / unknown,169405,skilled employee / official,big city
100000527,female,married,31,high school,120030,skilled employee / official,small city
100000528,male,single,42,high school,77933,unemployed/ unskilled,small city
100000529,male,married,31,high school,109892,skilled employee / official,mid-sized city
100000530,male,single,41,high school,69062,unemployed/ unskilled,small city
100000531,male,single,32,other / unknown,116348,skilled employee / official,small city
100000532,female,married,28,high school,137188,skilled employee / official,mid-sized city
100000533,male,married,41,high school,110199,skilled employee / official,small city
100000534,male,married,26,high school,109890,skilled employee / official,mid-sized city
100000535,male,single,25,other / unknown,109751,skilled employee / official,big city
100000536,male,married,33,high school,129651,skilled employee / official,mid-sized city
100000537,female,married,75,graduate school,170113,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000538,female,married,37,high school,140285,skilled employee / official,mid-sized city
100000539,male,single,42,high school,198029,management/ self employed/ highly qualified employee/ officer,big city
100000540,female,married,45,university,120262,unemployed/ unskilled,small city
100000541,male,married,23,high school,105137,skilled employee / official,mid-sized city
100000542,male,single,60,university,127371,skilled employee / official,small city
100000543,male,single,31,other / unknown,145689,skilled employee / official,small city
100000544,male,single,34,high school,102617,unemployed/ unskilled,mid-sized city
100000545,male,single,61,university,90709,unemployed/ unskilled,small city
100000546,male,single,43,high school,107099,skilled employee / official,mid-sized city
100000547,female,married,37,high school,116021,skilled employee / official,big city
100000548,male,single,32,other / unknown,100426,skilled employee / official,big city
100000549,female,married,24,high school,62249,unemployed/ unskilled,small city
100000550,male,single,35,high school,172957,skilled employee / official,mid-sized city
100000551,female,married,23,high school,95003,skilled employee / official,mid-sized city
100000552,male,single,45,high school,109698,unemployed/ unskilled,small city
100000553,male,married,34,high school,157376,skilled employee / official,small city
100000554,male,single,27,other / unknown,123191,skilled employee / official,big city
100000555,female,married,67,graduate school,171052,management/ self employed/ highly qualified employee/ officer,small city
100000556,male,single,22,other / unknown,99328,skilled employee / official,small city
100000557,female,married,28,high school,133799,skilled employee / official,big city
100000558,female,married,29,high school,138256,skilled employee / official,big city
100000559,male,single,27,other / unknown,115638,skilled employee / official,small city
100000560,male,single,31,other / unknown,82238,unemployed/ unskilled,small city
100000561,male,single,49,high school,127543,skilled employee / official,mid-sized city
100000562,male,single,24,other / unknown,63987,unemployed/ unskilled,small city
100000563,female,married,29,high school,114784,skilled employee / official,small city
100000564,male,single,37,high school,217450,skilled employee / official,mid-sized city
100000565,male,single,37,high school,173751,management/ self employed/ highly qualified employee/ officer,big city
100000566,female,married,23,high school,122850,skilled employee / official,small city
100000567,male,married,36,high school,104953,skilled employee / official,small city
100000568,male,single,34,high school,152371,skilled employee / official,mid-sized city
100000569,male,single,41,high school,139905,skilled employee / official,small city
100000570,female,married,31,high school,156700,skilled employee / official,mid-sized city
100000571,female,married,23,high school,86488,unemployed/ unskilled,small city
100000572,male,single,38,high school,147472,skilled employee / official,small city
100000573,female,married,26,high school,169991,management/ self employed/ highly qualified employee/ officer,small city
100000574,female,married,22,high school,62381,unemployed/ unskilled,small city
100000575,male,single,27,other / unknown,70926,unemployed/ unskilled,small city
100000576,female,married,24,high school,113004,skilled employee / official,mid-sized city
100000577,female,married,27,high school,125760,skilled employee / official,small city
100000578,female,married,33,high school,111918,skilled employee / official,big city
100000579,male,married,27,high school,120674,skilled employee / official,mid-sized city
100000580,male,married,27,high school,63597,unemployed/ unskilled,small city
100000581,male,single,30,other / unknown,103069,skilled employee / official,mid-sized city
100000582,male,single,49,high school,108079,unemployed/ unskilled,small city
100000583,female,married,26,high school,101159,skilled employee / official,mid-sized city
100000584,male,single,33,high school,88211,unemployed/ unskilled,small city
100000585,female,married,52,university,159052,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000586,female,married,20,high school,102623,skilled employee / official,big city
100000587,male,single,36,high school,115589,skilled employee / official,small city
100000588,male,single,21,other / unknown,59127,unemployed/ unskilled,small city
100000589,male,married,47,university,82240,unemployed/ unskilled,small city
100000590,male,single,60,university,129425,skilled employee / official,mid-sized city
100000591,female,married,58,university,87058,unemployed/ unskilled,small city
100000592,female,married,42,university,128462,skilled employee / official,big city
100000593,female,married,36,high school,121403,unemployed/ unskilled,small city
100000594,female,married,20,high school,88141,unemployed/ unskilled,small city
100000595,male,single,40,high school,134946,management/ self employed/ highly qualified employee/ officer,big city
100000596,female,married,32,high school,94058,unemployed/ unskilled,small city
100000597,female,married,23,high school,99285,skilled employee / official,mid-sized city
100000598,male,single,36,high school,108432,unemployed/ unskilled,small city
100000599,male,single,31,other / unknown,111369,skilled employee / official,small city
100000600,male,single,32,other / unknown,122612,skilled employee / official,big city
100000601,female,married,45,university,134350,skilled employee / official,small city
100000602,female,married,30,high school,108838,skilled employee / official,big city
100000603,female,married,34,high school,90852,unemployed/ unskilled,small city
100000604,female,married,28,high school,151580,management/ self employed/ highly qualified employee/ officer,big city
100000605,female,married,23,high school,115681,skilled employee / official,mid-sized city
100000606,male,single,22,other / unknown,131699,skilled employee / official,mid-sized city
100000607,male,single,74,university,192481,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000608,female,married,50,university,155122,skilled employee / official,big city
100000609,male,single,33,high school,106015,skilled employee / official,big city
100000610,male,single,45,high school,108378,skilled employee / official,small city
100000611,female,married,22,high school,105257,skilled employee / official,mid-sized city
100000612,female,married,48,university,118788,unemployed/ unskilled,small city
100000613,female,married,29,high school,162955,skilled employee / official,big city
100000614,female,married,22,high school,119511,skilled employee / official,big city
100000615,female,married,22,high school,102000,skilled employee / official,small city
100000616,male,single,48,high school,254449,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000617,male,single,27,other / unknown,208446,management/ self employed/ highly qualified employee/ officer,big city
100000618,male,single,37,high school,124805,skilled employee / official,small city
100000619,female,married,21,high school,139379,skilled employee / official,small city
100000620,male,married,49,university,78296,unemployed/ unskilled,small city
100000621,male,single,27,other / unknown,125598,skilled employee / official,mid-sized city
100000622,male,single,32,other / unknown,100215,skilled employee / official,big city
100000623,male,married,38,high school,130951,skilled employee / official,big city
100000624,female,married,22,high school,102480,skilled employee / official,big city
100000625,male,single,65,university,136812,skilled employee / official,mid-sized city
100000626,male,single,35,high school,106919,skilled employee / official,mid-sized city
100000627,male,single,41,high school,131020,skilled employee / official,big city
100000628,male,single,29,other / unknown,119429,skilled employee / official,mid-sized city
100000629,male,single,36,high school,154521,skilled employee / official,mid-sized city
100000630,male,single,64,university,117842,unemployed/ unskilled,small city
100000631,female,married,28,high school,124566,skilled employee / official,big city
100000632,male,single,44,high school,110009,skilled employee / official,big city
100000633,male,single,23,other / unknown,101210,skilled employee / official,mid-sized city
100000634,female,married,19,high school,101258,skilled employee / official,small city
100000635,female,married,25,high school,79045,unemployed/ unskilled,small city
100000636,male,single,47,high school,110866,skilled employee / official,small city
100000637,female,married,28,high school,129640,skilled employee / official,big city
100000638,male,single,21,other / unknown,227021,skilled employee / official,mid-sized city
100000639,female,married,34,high school,108549,skilled employee / official,mid-sized city
100000640,male,single,26,other / unknown,122693,skilled employee / official,small city
100000641,female,married,27,high school,35832,unemployed/ unskilled,small city
100000642,male,single,38,high school,81870,unemployed/ unskilled,small city
100000643,male,single,40,high school,179790,management/ self employed/ highly qualified employee/ officer,big city
100000644,male,married,33,high school,107158,skilled employee / official,mid-sized city
100000645,male,married,32,high school,136638,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000646,male,single,27,other / unknown,158147,skilled employee / official,big city
100000647,male,married,32,high school,132587,skilled employee / official,big city
100000648,female,married,26,high school,128140,skilled employee / official,big city
100000649,male,single,38,high school,117405,skilled employee / official,mid-sized city
100000650,male,single,40,high school,68475,unemployed/ unskilled,small city
100000651,male,single,50,high school,201656,management/ self employed/ highly qualified employee/ officer,big city
100000652,male,single,37,high school,86967,unemployed/ unskilled,small city
100000653,male,single,45,high school,118006,skilled employee / official,mid-sized city
100000654,male,single,42,high school,223630,management/ self employed/ highly qualified employee/ officer,big city
100000655,male,single,35,high school,110442,skilled employee / official,small city
100000656,male,single,22,other / unknown,115691,skilled employee / official,big city
100000657,male,single,41,high school,80232,unemployed/ unskilled,small city
100000658,male,single,37,high school,187647,skilled employee / official,mid-sized city
100000659,female,married,28,high school,138952,skilled employee / official,mid-sized city
100000660,male,single,41,high school,162772,skilled employee / official,big city
100000661,male,married,23,high school,111862,skilled employee / official,mid-sized city
100000662,male,married,23,high school,90051,skilled employee / official,mid-sized city
100000663,male,single,50,high school,121400,skilled employee / official,mid-sized city
100000664,male,single,35,high school,137000,management/ self employed/ highly qualified employee/ officer,big city
100000665,female,married,50,university,105031,unemployed/ unskilled,small city
100000666,male,single,27,other / unknown,172153,management/ self employed/ highly qualified employee/ officer,big city
100000667,male,single,34,high school,170184,skilled employee / official,mid-sized city
100000668,female,married,27,high school,123279,skilled employee / official,mid-sized city
100000669,male,single,43,high school,140795,skilled employee / official,small city
100000670,male,single,47,high school,144456,skilled employee / official,small city
100000671,male,single,27,other / unknown,104773,unemployed/ unskilled,small city
100000672,male,single,31,other / unknown,153353,skilled employee / official,mid-sized city
100000673,male,single,42,high school,223018,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000674,male,married,24,high school,129177,skilled employee / official,big city
100000675,male,single,41,high school,114475,unemployed/ unskilled,mid-sized city
100000676,female,married,26,high school,161323,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000677,male,single,33,high school,135765,skilled employee / official,big city
100000678,male,married,24,high school,158421,skilled employee / official,small city
100000679,male,single,64,university,103941,unemployed/ unskilled,small city
100000680,female,married,26,high school,101783,skilled employee / official,big city
100000681,female,married,56,university,126531,skilled employee / official,mid-sized city
100000682,male,single,37,high school,111394,skilled employee / official,mid-sized city
100000683,male,married,33,high school,103577,skilled employee / official,big city
100000684,male,married,47,university,149545,skilled employee / official,mid-sized city
100000685,male,single,31,other / unknown,171857,unemployed/ unskilled,small city
100000686,male,single,34,high school,149782,skilled employee / official,mid-sized city
100000687,male,single,27,other / unknown,112470,skilled employee / official,mid-sized city
100000688,male,single,30,other / unknown,133907,skilled employee / official,big city
100000689,male,single,35,high school,127849,skilled employee / official,mid-sized city
100000690,male,single,31,other / unknown,160279,skilled employee / official,big city
100000691,male,married,25,high school,92366,skilled employee / official,big city
100000692,female,married,25,high school,104794,unemployed/ unskilled,small city
100000693,male,single,29,other / unknown,133436,skilled employee / official,mid-sized city
100000694,male,single,44,high school,110374,unemployed/ unskilled,small city
100000695,male,single,28,other / unknown,104263,skilled employee / official,mid-sized city
100000696,male,single,50,high school,138752,skilled employee / official,small city
100000697,male,single,29,other / unknown,102723,skilled employee / official,small city
100000698,female,married,38,high school,46297,unemployed/ unskilled,small city
100000699,male,single,24,other / unknown,96425,skilled employee / official,mid-sized city
100000700,male,single,40,high school,158197,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000701,female,married,29,high school,98008,unemployed/ unskilled,small city
100000702,male,single,46,high school,157473,skilled employee / official,small city
100000703,female,married,47,university,149306,skilled employee / official,small city
100000704,male,single,41,high school,139236,skilled employee / official,mid-sized city
100000705,female,married,32,high school,125890,skilled employee / official,big city
100000706,female,married,35,high school,173124,skilled employee / official,mid-sized city
100000707,male,single,24,other / unknown,164621,skilled employee / official,mid-sized city
100000708,female,married,25,high school,124539,skilled employee / official,mid-sized city
100000709,female,married,25,high school,107614,skilled employee / official,mid-sized city
100000710,male,single,37,high school,88849,unemployed/ unskilled,small city
100000711,male,single,32,other / unknown,148566,management/ self employed/ highly qualified employee/ officer,big city
100000712,female,married,35,high school,106515,skilled employee / official,big city
100000713,male,single,46,high school,150465,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000714,male,single,25,other / unknown,60868,unemployed/ unskilled,small city
100000715,male,single,27,other / unknown,255198,management/ self employed/ highly qualified employee/ officer,big city
100000716,male,single,63,university,183178,skilled employee / official,mid-sized city
100000717,male,single,40,high school,121448,skilled employee / official,big city
100000718,male,single,32,other / unknown,129975,management/ self employed/ highly qualified employee/ officer,big city
100000719,male,single,31,other / unknown,132950,skilled employee / official,big city
100000720,male,married,31,high school,169314,skilled employee / official,mid-sized city
100000721,male,single,34,high school,147958,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000722,female,married,24,high school,139896,skilled employee / official,big city
100000723,female,married,24,high school,68028,unemployed/ unskilled,small city
100000724,female,married,66,graduate school,133328,unemployed/ unskilled,small city
100000725,female,married,21,high school,108518,skilled employee / official,big city
100000726,female,married,41,university,112700,unemployed/ unskilled,small city
100000727,male,married,47,university,110190,unemployed/ unskilled,small city
100000728,female,married,25,high school,105104,skilled employee / official,mid-sized city
100000729,female,married,59,university,184753,skilled employee / official,mid-sized city
100000730,male,married,36,high school,162521,skilled employee / official,big city
100000731,male,single,33,high school,156794,skilled employee / official,mid-sized city
100000732,male,single,21,other / unknown,65827,unemployed/ unskilled,small city
100000733,female,married,44,university,88490,unemployed/ unskilled,small city
100000734,female,married,28,high school,154919,skilled employee / official,big city
100000735,female,married,37,high school,129058,skilled employee / official,small city
100000736,female,married,29,high school,77532,unemployed/ unskilled,small city
100000737,female,married,23,high school,235417,management/ self employed/ highly qualified employee/ officer,big city
100000738,male,single,35,high school,113468,unemployed/ unskilled,small city
100000739,male,single,45,high school,190803,management/ self employed/ highly qualified employee/ officer,big city
100000740,female,married,26,high school,121423,unemployed/ unskilled,small city
100000741,male,single,32,other / unknown,121347,skilled employee / official,mid-sized city
100000742,male,single,23,other / unknown,67408,unemployed/ unskilled,small city
100000743,male,single,41,high school,123043,skilled employee / official,mid-sized city
100000744,male,single,22,other / unknown,128387,skilled employee / official,big city
100000745,male,single,30,other / unknown,250050,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000746,male,single,28,other / unknown,69588,unemployed/ unskilled,small city
100000747,female,married,23,high school,109547,skilled employee / official,mid-sized city
100000748,female,married,37,high school,78840,unemployed/ unskilled,small city
100000749,male,single,26,other / unknown,131122,skilled employee / official,small city
100000750,male,single,33,high school,115403,skilled employee / official,mid-sized city
100000751,female,married,49,university,110291,skilled employee / official,big city
100000752,female,married,23,high school,64811,unemployed/ unskilled,small city
100000753,female,married,23,high school,86015,unemployed/ unskilled,small city
100000754,female,married,25,high school,142438,skilled employee / official,big city
100000755,male,single,55,high school,159303,skilled employee / official,mid-sized city
100000756,female,married,32,high school,104957,skilled employee / official,mid-sized city
100000757,male,single,74,university,89502,unemployed/ unskilled,small city
100000758,male,single,39,high school,121313,skilled employee / official,mid-sized city
100000759,male,single,31,other / unknown,98102,skilled employee / official,small city
100000760,male,single,35,high school,94554,skilled employee / official,mid-sized city
100000761,female,married,59,university,162591,skilled employee / official,mid-sized city
100000762,female,married,24,high school,106629,skilled employee / official,big city
100000763,male,single,24,other / unknown,70400,unemployed/ unskilled,small city
100000764,male,single,30,other / unknown,235660,management/ self employed/ highly qualified employee/ officer,big city
100000765,male,married,27,high school,121747,skilled employee / official,big city
100000766,male,married,40,high school,85060,unemployed/ unskilled,small city
100000767,male,married,31,high school,87630,unemployed/ unskilled,small city
100000768,female,married,31,high school,119673,skilled employee / official,small city
100000769,male,single,28,other / unknown,126060,skilled employee / official,big city
100000770,male,single,63,university,96145,unemployed/ unskilled,small city
100000771,female,married,26,high school,114830,skilled employee / official,small city
100000772,female,married,25,high school,194461,management/ self employed/ highly qualified employee/ officer,big city
100000773,male,single,36,high school,150158,management/ self employed/ highly qualified employee/ officer,big city
100000774,male,single,52,high school,136323,skilled employee / official,big city
100000775,male,single,66,university,111858,unemployed/ unskilled,small city
100000776,female,married,25,high school,100198,skilled employee / official,small city
100000777,male,single,37,high school,123452,skilled employee / official,big city
100000778,female,married,25,high school,120723,skilled employee / official,mid-sized city
100000779,male,single,38,high school,215639,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000780,female,married,67,graduate school,166712,skilled employee / official,mid-sized city
100000781,male,single,25,other / unknown,136300,skilled employee / official,mid-sized city
100000782,male,single,60,university,166988,skilled employee / official,big city
100000783,male,single,31,other / unknown,77265,unemployed/ unskilled,small city
100000784,female,married,23,high school,85967,unemployed/ unskilled,small city
100000785,male,married,60,university,212020,management/ self employed/ highly qualified employee/ officer,small city
100000786,male,single,35,high school,126054,unemployed/ unskilled,small city
100000787,male,single,40,high school,144589,skilled employee / official,small city
100000788,male,single,38,high school,116723,skilled employee / official,mid-sized city
100000789,male,single,50,high school,168637,skilled employee / official,mid-sized city
100000790,male,single,27,other / unknown,139119,skilled employee / official,mid-sized city
100000791,female,married,39,university,118610,skilled employee / official,big city
100000792,male,single,41,high school,183312,management/ self employed/ highly qualified employee/ officer,big city
100000793,male,married,27,high school,96323,skilled employee / official,small city
100000794,male,married,51,university,149510,skilled employee / official,big city
100000795,male,single,32,other / unknown,141922,skilled employee / official,big city
100000796,female,married,22,high school,120233,skilled employee / official,small city
100000797,male,single,51,high school,172790,skilled employee / official,mid-sized city
100000798,female,married,22,high school,66720,unemployed/ unskilled,small city
100000799,male,married,54,university,113024,skilled employee / official,mid-sized city
100000800,male,single,35,high school,51791,unemployed/ unskilled,small city
100000801,male,single,54,high school,118408,skilled employee / official,big city
100000802,female,married,48,university,101616,unemployed/ unskilled,small city
100000803,female,married,24,high school,127250,skilled employee / official,small city
100000804,male,single,35,high school,97290,skilled employee / official,small city
100000805,female,married,24,high school,106970,unemployed/ unskilled,small city
100000806,male,single,24,other / unknown,168147,skilled employee / official,big city
100000807,male,married,26,high school,68468,unemployed/ unskilled,small city
100000808,male,single,65,university,120780,skilled employee / official,big city
100000809,male,single,55,high school,231992,management/ self employed/ highly qualified employee/ officer,big city
100000810,female,married,26,high school,53903,unemployed/ unskilled,small city
100000811,male,married,26,high school,101511,skilled employee / official,big city
100000812,male,married,28,high school,69046,unemployed/ unskilled,small city
100000813,male,single,24,other / unknown,171584,skilled employee / official,mid-sized city
100000814,male,single,54,high school,132367,skilled employee / official,big city
100000815,male,single,46,high school,134433,skilled employee / official,big city
100000816,female,married,54,university,190518,skilled employee / official,small city
100000817,male,married,62,university,152367,skilled employee / official,mid-sized city
100000818,female,married,24,high school,101157,skilled employee / official,mid-sized city
100000819,male,married,43,university,279593,management/ self employed/ highly qualified employee/ officer,big city
100000820,male,married,26,high school,96716,skilled employee / official,big city
100000821,male,married,27,high school,95171,skilled employee / official,small city
100000822,male,married,24,high school,129162,skilled employee / official,big city
100000823,male,single,41,high school,118742,skilled employee / official,small city
100000824,male,single,47,high school,74511,unemployed/ unskilled,small city
100000825,male,married,35,high school,157272,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000826,male,married,30,high school,102374,skilled employee / official,small city
100000827,female,married,33,high school,131492,skilled employee / official,small city
100000828,male,single,36,high school,128702,skilled employee / official,big city
100000829,male,single,47,high school,177509,skilled employee / official,big city
100000830,male,single,38,high school,163451,skilled employee / official,mid-sized city
100000831,male,single,44,high school,144900,skilled employee / official,mid-sized city
100000832,female,married,23,high school,97115,skilled employee / official,big city
100000833,male,single,29,other / unknown,196568,skilled employee / official,big city
100000834,female,married,42,university,158405,skilled employee / official,small city
100000835,female,married,25,high school,97376,unemployed/ unskilled,small city
100000836,male,single,48,high school,108678,skilled employee / official,mid-sized city
100000837,female,married,21,high school,92351,skilled employee / official,small city
100000838,female,married,23,high school,61211,unemployed/ unskilled,small city
100000839,male,single,63,university,138644,skilled employee / official,small city
100000840,male,married,46,university,124824,skilled employee / official,big city
100000841,male,single,29,other / unknown,132852,skilled employee / official,small city
100000842,male,single,28,other / unknown,81069,unemployed/ unskilled,small city
100000843,female,married,23,high school,104094,skilled employee / official,big city
100000844,male,single,50,high school,114853,skilled employee / official,small city
100000845,male,single,47,high school,130344,skilled employee / official,big city
100000846,male,single,35,high school,135090,skilled employee / official,small city
100000847,male,single,68,university,179151,skilled employee / official,big city
100000848,male,married,28,high school,97390,skilled employee / official,mid-sized city
100000849,male,single,59,university,120160,skilled employee / official,small city
100000850,male,single,57,university,82277,unemployed/ unskilled,small city
100000851,male,married,33,high school,110844,skilled employee / official,big city
100000852,male,single,43,high school,133105,skilled employee / official,small city
100000853,male,single,35,high school,102042,skilled employee / official,small city
100000854,male,single,32,other / unknown,69370,unemployed/ unskilled,small city
100000855,male,single,45,high school,200298,skilled employee / official,mid-sized city
100000856,male,married,33,high school,117039,skilled employee / official,big city
100000857,female,married,40,university,107585,skilled employee / official,big city
100000858,male,single,28,other / unknown,114429,skilled employee / official,small city
100000859,female,married,29,high school,128234,skilled employee / official,big city
100000860,male,single,26,other / unknown,128580,skilled employee / official,big city
100000861,male,single,27,other / unknown,177757,skilled employee / official,mid-sized city
100000862,male,married,28,high school,106222,skilled employee / official,small city
100000863,female,married,35,high school,118428,skilled employee / official,big city
100000864,male,single,32,other / unknown,139477,unemployed/ unskilled,small city
100000865,male,single,25,other / unknown,71159,unemployed/ unskilled,small city
100000866,female,married,20,high school,131370,skilled employee / official,big city
100000867,female,married,27,high school,111567,skilled employee / official,big city
100000868,male,single,42,high school,125482,skilled employee / official,big city
100000869,male,single,37,high school,160642,skilled employee / official,big city
100000870,female,married,24,high school,92498,skilled employee / official,small city
100000871,female,married,40,university,199711,skilled employee / official,big city
100000872,male,single,46,high school,127588,skilled employee / official,big city
100000873,male,single,26,other / unknown,107508,skilled employee / official,big city
100000874,female,married,24,high school,94629,skilled employee / official,big city
100000875,male,single,29,other / unknown,87598,unemployed/ unskilled,big city
100000876,female,married,40,university,161194,skilled employee / official,mid-sized city
100000877,male,single,36,high school,137342,management/ self employed/ highly qualified employee/ officer,big city
100000878,male,single,28,other / unknown,116848,skilled employee / official,mid-sized city
100000879,male,single,27,other / unknown,125190,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000880,male,single,36,high school,153441,skilled employee / official,small city
100000881,male,single,38,high school,195328,management/ self employed/ highly qualified employee/ officer,big city
100000882,male,married,48,university,190413,skilled employee / official,small city
100000883,male,single,36,high school,118656,skilled employee / official,mid-sized city
100000884,female,married,65,graduate school,69487,unemployed/ unskilled,small city
100000885,male,married,43,university,145313,skilled employee / official,mid-sized city
100000886,female,married,53,university,117005,skilled employee / official,mid-sized city
100000887,male,single,34,high school,123243,skilled employee / official,mid-sized city
100000888,male,single,23,other / unknown,237799,skilled employee / official,mid-sized city
100000889,male,single,34,high school,180617,management/ self employed/ highly qualified employee/ officer,big city
100000890,male,single,40,high school,167019,skilled employee / official,small city
100000891,male,single,43,high school,147745,management/ self employed/ highly qualified employee/ officer,big city
100000892,male,single,46,high school,114254,skilled employee / official,mid-sized city
100000893,male,single,38,high school,81155,unemployed/ unskilled,small city
100000894,male,single,34,high school,151803,skilled employee / official,big city
100000895,male,single,29,other / unknown,94356,skilled employee / official,big city
100000896,male,single,31,other / unknown,200621,management/ self employed/ highly qualified employee/ officer,big city
